T,800 ℃,950 ℃
δ,0.125-0.25,0.125-0.25
Sr0.125Ba0.125Ca0.625K0.125Ti1,2.06635,1.9991
Sr0.125Ba0.125Ca0.75Fe0.125.875,2.55758,2.38382
Sr0.125Ba0.125K0.125Sm0.625Ti1,2.25907,2.19358
Sr0.125Ba0.125K0.125Y0.625Ti1,2.35057,2.28446
Sr0.125Ba0.125K0.25Sm0.5Ti1,2.1224,2.06277
Sr0.125Ba0.125K0.25Y0.5Ti1,2.12599,2.06088
Sr0.125Ba0.125La0.5K0.25Ti1,2.16895,2.1125
Sr0.125Ba0.125La0.625K0.125Ti1,2.23252,2.17078
Sr0.125Ba0.25Ca0.5K0.125Ti1,2.06642,1.99885
Sr0.125Ba0.25Ca0.625Fe0.125.875,2.51388,2.3554
Sr0.125Ba0.25K0.125Sm0.5Ti1,2.17487,2.10971
Sr0.125Ba0.25K0.125Y0.5Ti1,2.17846,2.10782
Sr0.125Ba0.25K0.25Sm0.375Ti1,2.14612,2.08693
Sr0.125Ba0.25La0.5K0.125Ti1,2.22142,2.15944
Sr0.125Ba0.375Ca0.375K0.125Ti1,2.14952,2.08627
Sr0.125Ba0.375Ca0.5Fe0.125.875,2.35458,2.19738
Sr0.125Ba0.375K0.125Sm0.375Ti1,2.15027,2.08715
Sr0.125Ba0.375K0.125Y0.375Ti1,2.13533,2.0696
Sr0.125Ba0.375La0.375K0.125Ti1,2.17303,2.10744
Sr0.125Ba0.375La0.5Fe0.25.75,2.48051,2.33933
Sr0.125Ba0.375Sm0.5Fe0.25.75,2.22592,2.09199
Sr0.125Ba0.375Y0.5Cu0.5Ti0.5,2.62919,2.49412
Sr0.125Ba0.375Y0.5Fe0.125.875,2.73564,2.60805
Sr0.125Ba0.375Y0.5Fe0.25.75,2.1712,2.03363
Sr0.125Ba0.375Y0.5Mg0.5Ti0.5,2.72805,2.59772
Sr0.125Ba0.5Ca0.25K0.125Ti1,2.08136,2.01233
Sr0.125Ba0.5Ca0.375Fe0.125.875,2.40458,2.24972
Sr0.125Ba0.5K0.125Sm0.25Ti1,2.10697,2.04215
Sr0.125Ba0.5K0.125Y0.25Ti1,2.09124,2.0252
Sr0.125Ba0.5La0.25K0.125Ti1,2.15138,2.08903
Sr0.125Ba0.5La0.375Fe0.25.75,2.27433,2.13945
Sr0.125Ba0.5Sm0.375Fe0.125.875,2.71472,2.57663
Sr0.125Ba0.5Sm0.375Fe0.25.75,2.02145,1.8861
Sr0.125Ba0.5Y0.375Cu0.5Ti0.5,2.59894,2.47482
Sr0.125Ba0.5Y0.375Fe0.125.875,2.62752,2.49748
Sr0.125Ba0.5Y0.375Mg0.5Ti0.5,2.65182,2.52356
Sr0.125Ba0.5Y0.375Ni0.5Ti0.5,2.6403,2.51428
Sr0.125Ba0.625Ca0.125K0.125Ti1,2.07221,2.00283
Sr0.125Ba0.625Ca0.25Fe0.125.875,2.43718,2.28696
Sr0.125Ba0.625K0.125Sm0.125Ti1,2.10935,2.04512
Sr0.125Ba0.625K0.125Y0.125Ti1,2.08651,2.02178
Sr0.125Ba0.625La0.125K0.125Ti1,2.09953,2.03535
Sr0.125Ba0.625La0.25Fe0.25.75,2.15944,2.02647
Sr0.125Ba0.625Sm0.25Fe0.125.875,2.73862,2.60233
Sr0.125Ba0.625Sm0.25Fe0.25.75,1.99024,1.85323
Sr0.125Ba0.625Y0.25Fe0.125.875,2.52064,2.39213
Sr0.125Ba0.75Ca0.125Co0.25.75,2.61887,2.48794
Sr0.125Ba0.75Ca0.125Co0.375.625,2.68735,2.5548
Sr0.125Ba0.75Ca0.125Cu0.25.75,2.61887,2.48794
Sr0.125Ba0.75Ca0.125Cu0.375.625,2.68735,2.5548
Sr0.125Ba0.75Ca0.125Fe0.125.875,2.20258,2.05264
Sr0.125Ba0.75Ca0.125Mg0.25.75,2.61887,2.48794
Sr0.125Ba0.75Ca0.125Mg0.375.625,2.68735,2.5548
Sr0.125Ba0.75Ca0.125Mn0.25.75,2.61887,2.48794
Sr0.125Ba0.75Ca0.125Mn0.375.625,2.68735,2.5548
Sr0.125Ba0.75Ca0.125Ni0.25.75,2.61887,2.48794
Sr0.125Ba0.75Ca0.125Ni0.375.625,2.68735,2.5548
Sr0.125Ba0.75La0.125Fe0.125.875,2.60739,2.47347
Sr0.125Ba0.75Sm0.125Co0.25.75,2.68797,2.56567
Sr0.125Ba0.75Sm0.125Co0.5Ti0.5,2.21452,2.07934
Sr0.125Ba0.75Sm0.125Cu0.25.75,2.68797,2.56567
Sr0.125Ba0.75Sm0.125Cu0.5Ti0.5,2.19292,2.06751
Sr0.125Ba0.75Sm0.125Fe0.125.875,2.5501,2.41399
Sr0.125Ba0.75Sm0.125Mg0.25.75,2.68797,2.56567
Sr0.125Ba0.75Sm0.125Mg0.5Ti0.5,2.18529,2.05038
Sr0.125Ba0.75Sm0.125Mn0.25.75,2.68797,2.56567
Sr0.125Ba0.75Sm0.125Mn0.5Ti0.5,2.22045,2.08507
Sr0.125Ba0.75Sm0.125Ni0.25.75,2.68797,2.56567
Sr0.125Ba0.75Sm0.125Ni0.5Ti0.5,2.16786,2.03502
Sr0.125Ba0.75Y0.125Co0.25.75,2.54854,2.42463
Sr0.125Ba0.75Y0.125Co0.375.625,2.64666,2.52186
Sr0.125Ba0.75Y0.125Cu0.25.75,2.54854,2.42463
Sr0.125Ba0.75Y0.125Cu0.375.625,2.64666,2.52186
Sr0.125Ba0.75Y0.125Fe0.125.875,2.40591,2.27302
Sr0.125Ba0.75Y0.125Mg0.25.75,2.54854,2.42463
Sr0.125Ba0.75Y0.125Mg0.375.625,2.64666,2.52186
Sr0.125Ba0.75Y0.125Mn0.25.75,2.54854,2.42463
Sr0.125Ba0.75Y0.125Mn0.375.625,2.64666,2.52186
Sr0.125Ba0.75Y0.125Ni0.25.75,2.54854,2.42463
Sr0.125Ba0.75Y0.125Ni0.375.625,2.64666,2.52186
Sr0.125Ba0.875Co0.125Cu0.125.75,2.20858,2.08947
Sr0.125Ba0.875Co0.125Cu0.25.625,2.41181,2.29617
Sr0.125Ba0.875Co0.125Mg0.125.75,2.20858,2.08947
Sr0.125Ba0.875Co0.125Mg0.25.625,2.41181,2.29617
Sr0.125Ba0.875Co0.125Mn0.125.75,2.20858,2.08947
Sr0.125Ba0.875Co0.125Mn0.25.625,2.41181,2.29617
Sr0.125Ba0.875Co0.125Ni0.125.75,2.20858,2.08947
Sr0.125Ba0.875Co0.125Ni0.25.625,2.41181,2.29617
Sr0.125Ba0.875Co0.25Cu0.125.625,2.41181,2.29617
Sr0.125Ba0.875Co0.25Mg0.125.625,2.41181,2.29617
Sr0.125Ba0.875Co0.25Mn0.125.625,2.41181,2.29617
Sr0.125Ba0.875Co0.25Ni0.125.625,2.41181,2.29617
Sr0.125Ba0.875Cu0.125Mg0.125.75,2.20858,2.08947
Sr0.125Ba0.875Cu0.125Mg0.25.625,2.41181,2.29617
Sr0.125Ba0.875Cu0.125Mn0.125.75,2.20858,2.08947
Sr0.125Ba0.875Cu0.125Mn0.25.625,2.41181,2.29617
Sr0.125Ba0.875Cu0.125Ni0.125.75,2.20858,2.08947
Sr0.125Ba0.875Cu0.125Ni0.25.625,2.41181,2.29617
Sr0.125Ba0.875Cu0.25Mg0.125.625,2.41181,2.29617
Sr0.125Ba0.875Cu0.25Mn0.125.625,2.41181,2.29617
Sr0.125Ba0.875Cu0.25Ni0.125.625,2.41181,2.29617
Sr0.125Ba0.875Mg0.125Ni0.125.75,2.20858,2.08947
Sr0.125Ba0.875Mg0.125Ni0.25.625,2.41181,2.29617
Sr0.125Ba0.875Mg0.25Ni0.125.625,2.41181,2.29617
Sr0.125Ba0.875Mn0.125Mg0.125.75,2.20858,2.08947
Sr0.125Ba0.875Mn0.125Mg0.25.625,2.41181,2.29617
Sr0.125Ba0.875Mn0.125Ni0.125.75,2.20858,2.08947
Sr0.125Ba0.875Mn0.125Ni0.25.625,2.41181,2.29617
Sr0.125Ba0.875Mn0.25Mg0.125.625,2.41181,2.29617
Sr0.125Ba0.875Mn0.25Ni0.125.625,2.41181,2.29617
Sr0.125Ca0.125K0.125Sm0.625Ti1,2.27711,2.21075
Sr0.125Ca0.125K0.125Y0.625Ti1,2.35742,2.28885
Sr0.125Ca0.125K0.25Sm0.5Ti1,2.13489,2.07428
Sr0.125Ca0.125K0.25Y0.5Ti1,2.12729,2.0596
Sr0.125Ca0.125La0.5K0.25Ti1,2.18214,2.12468
Sr0.125Ca0.125La0.625K0.125Ti1,2.25125,2.18863
Sr0.125Ca0.25K0.125Sm0.5Ti1,2.18334,2.11792
Sr0.125Ca0.25K0.125Y0.5Ti1,2.17815,2.10697
Sr0.125Ca0.25K0.25Sm0.375Ti1,2.14904,2.08947
Sr0.125Ca0.25K0.25Y0.375Ti1,2.11703,2.05292
Sr0.125Ca0.25La0.375K0.25Ti1,2.17181,2.10975
Sr0.125Ca0.25La0.5K0.125Ti1,2.22888,2.16736
Sr0.125Ca0.25Sm0.625Co0.625Ti0.375,2.65755,2.52873
Sr0.125Ca0.375K0.125Sm0.375Ti1,2.17984,2.11819
