T,800 ℃,800 ℃,800 ℃,950 ℃,950 ℃,950 ℃
δ,0.25-0.375,0.3125-0.4375,0.375-0.5,0.25-0.375,0.3125-0.4375,0.375-0.5
Ba0.125Ca0.125La0.75Cu0.625Ti0.375,2.02435,2.2308,2.43725,1.9004,2.0883,2.27621
Ba0.125Ca0.125La0.75Mn0.75Ti0.25,1.99984,2.34093,2.68202,1.87868,2.20338,2.52809
Ba0.125Ca0.25La0.625Cu0.625Ti0.375,2.09536,2.22735,2.35935,1.96456,2.08238,2.20019
Ba0.125Ca0.375Y0.5Mg0.625Ti0.375,1.97529,2.34675,2.71821,1.84243,2.20091,2.5594
Ba0.125Ca0.5K0.375Fe0.125.875,2.42276,2.38834,2.35393,2.2854,2.2439,2.20634
Ba0.125Ca0.5Sm0.375Co0.625Ti0.375,2.22475,2.44795,2.67116,2.08698,2.30134,2.51571
Ba0.125Ca0.5Sm0.375Mg0.625Ti0.375,1.96891,2.26169,2.55446,1.83178,2.11728,2.40278
Ba0.125Ca0.5Sm0.375Mn0.625Ti0.375,2.19816,2.45036,2.70256,2.05759,2.30327,2.54895
Ba0.125Ca0.5Sm0.375Ni0.625Ti0.375,2.045,2.31943,2.59387,1.90454,2.17187,2.43921
Ba0.125Ca0.75K0.125Co0.5Ti0.5,2.10763,2.4112,2.71478,1.96711,2.26333,2.55979
Ba0.125Ca0.75K0.125Cu0.5Ti0.5,2.10763,2.4112,2.71478,1.96711,2.26333,2.55979
Ba0.125Ca0.75K0.125Mg0.5Ti0.5,2.10763,2.4112,2.71478,1.96711,2.26333,2.55979
Ba0.125Ca0.75K0.125Mn0.5Ti0.5,2.10763,2.4112,2.71478,1.96711,2.26333,2.55979
Ba0.125Ca0.75K0.125Ni0.5Ti0.5,2.10763,2.4112,2.71478,1.96711,2.26333,2.55979
Ba0.125Ca0.75La0.125Co0.625Ti0.375,1.96286,2.27172,2.58058,1.83682,2.13167,2.42652
Ba0.125Ca0.75La0.125Mg0.625Ti0.375,1.96286,2.27172,2.58058,1.83682,2.13167,2.42652
Ba0.125Ca0.75La0.125Mn0.625Ti0.375,1.96286,2.27172,2.58058,1.83682,2.13167,2.42652
Ba0.125Ca0.75La0.125Ni0.625Ti0.375,1.96798,2.27282,2.57766,1.84189,2.1327,2.42351
Ba0.125K0.375Sm0.5Fe0.125.875,2.42288,2.4836,2.54432,2.28668,2.33926,2.39554
Ba0.125K0.375Y0.5Fe0.125.875,2.42671,2.42197,2.41723,2.28596,2.27474,2.26738
Ba0.125La0.5K0.375Fe0.125.875,2.4248,2.44228,2.45976,2.28684,2.29696,2.31103
Ba0.125La0.5Sm0.375Mg0.625Ti0.375,2.17957,2.4463,2.71303,2.05836,2.30831,2.55827
Ba0.125La0.625Sm0.25Cu0.625Ti0.375,2.19823,2.26632,2.33442,2.06871,2.12142,2.17412
Ba0.125La0.625Y0.25Cu0.625Ti0.375,2.17134,2.2545,2.33766,2.04224,2.10953,2.17681
Ba0.125La0.75K0.125Fe0.5Ti0.5,2.02543,2.28083,2.53624,1.89367,2.13986,2.38604
Ba0.125La0.75Sm0.125Cu0.625Ti0.375,2.11273,2.25774,2.40275,1.98973,2.11567,2.24161
Ba0.125La0.75Sm0.125Mn0.75Ti0.25,2.03162,2.35454,2.67747,1.9104,2.21687,2.52334
Ba0.125La0.75Y0.125Cu0.625Ti0.375,2.11273,2.25774,2.40275,1.98973,2.11567,2.24161
Ba0.125La0.75Y0.125Mn0.75Ti0.25,2.03162,2.35454,2.67747,1.9104,2.21687,2.52334
